Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
HSL001	0.059	0.0636	637.5	0.986	0.814	105.8	190.7	3000	631	0.541	0.014	5.25	7.58	2.28
HSL003	0.0483	0.144	965.7	0.993	0.883	246.3	430.7	3000	961	0.554	0.00679	6.07	8.75	2.63
HSL004	0.041	0.122	929.5	0.992	0.865	205.2	367.3	3000	922	0.587	0.00775	5.91	8.52	2.57
HSL006	0.0613	0.055	545.5	0.985	0.813	96.4	165.1	3000	536	0.551	0.0153	5.11	7.37	2.22
HSL010	0.185	0.0443	593.8	0.959	0.767	49.7	132.8	3000	587	0.56	0.041	4.89	7.05	2.12
HSL013	0.104	0.0928	883.9	0.982	0.831	115.7	278.3	3000	876	0.597	0.0175	5.63	8.12	2.44
HSL015	0.154	0.0371	436.9	0.968	0.777	54.4	111.3	3000	429	0.491	0.0324	4.71	6.8	2.05
HSL016	0.132	0.0425	565	0.971	0.767	59.3	127.5	3000	556	0.578	0.0287	4.85	6.99	2.11
HSL018	0.0333	0.0699	592.8	0.99	0.838	131.8	209.7	3000	588	0.491	0.0104	5.35	7.71	2.32
HSL019	0.0147	0.293	1406.9	0.998	0.936	642.8	880	3000	1400	0.64	0.00214	6.78	9.78	2.94
HSL020	0.0157	0.249	1271.1	0.997	0.926	528.1	745.8	3000	1264	0.613	0.00264	6.61	9.54	2.87
MF000	0.0273	0.179	1052	0.996	0.904	348.3	537.4	3000	1046	0.57	0.00431	6.29	9.07	2.73
MF002	0.0293	0.204	1122.8	0.996	0.914	414.6	611.4	3000	1116	0.587	0.00355	6.42	9.26	2.79
MF003	0.02	0.238	1241	0.997	0.923	492.5	714.6	3000	1234	0.611	0.00298	6.57	9.48	2.85
MF005	0.0237	0.206	1189.6	0.996	0.908	399.5	617.5	3000	1183	0.619	0.00373	6.43	9.27	2.79
MF006	0.0173	0.224	1236.1	0.997	0.915	453.1	670.7	3000	1228	0.633	0.00315	6.51	9.39	2.83
MF008	0.0213	0.221	1238.9	0.997	0.913	430.3	662.7	3000	1233	0.618	0.00349	6.5	9.37	2.82
MF009	0.0203	0.209	1162	0.997	0.913	423	626.2	3000	1154	0.608	0.00341	6.44	9.29	2.8
MF010	0.022	0.152	903.8	0.996	0.9	318.1	455.1	3000	898	0.546	0.00426	6.12	8.83	2.66
MF011	0.0207	0.204	1157.6	0.996	0.91	405.9	611.9	3000	1153	0.588	0.00357	6.42	9.26	2.79
MF012	0.022	0.191	1060.4	0.996	0.912	394.6	571.5	3000	1055	0.562	0.00357	6.35	9.16	2.76
MF013	0.026	0.199	1093.9	0.996	0.914	410	597.8	3000	1088	0.572	0.00351	6.39	9.22	2.78
MF014	0.0213	0.154	898.3	0.996	0.904	329.2	463.4	3000	892	0.538	0.00407	6.14	8.86	2.67
MF015	0.0167	0.205	1114.2	0.997	0.916	434.4	614.9	3000	1108	0.585	0.00314	6.42	9.26	2.79
MF016	0.017	0.172	973.3	0.996	0.908	366.7	515.4	3000	968	0.546	0.00364	6.24	9.01	2.71
MF017	0.0203	0.21	1241.8	0.996	0.906	394	629.2	3000	1232	0.651	0.00387	6.44	9.3	2.8
MF018	0.029	0.143	997	0.994	0.879	263.6	428.8	3000	987	0.63	0.0056	6.06	8.74	2.63
MF019	0.0577	0.115	850.9	0.992	0.868	202.9	345.7	3000	843	0.581	0.00797	5.85	8.43	2.54
MF020	0.0487	0.12	880.7	0.993	0.87	218.5	360.8	3000	870	0.611	0.00705	5.89	8.49	2.56
SA001	0.0267	0.125	866.7	0.994	0.878	236.4	376	3000	860	0.561	0.00614	5.93	8.55	2.58
SA006	0.0907	0.145	1024.5	0.989	0.877	200	434.9	3000	1017	0.585	0.0111	6.08	8.76	2.64
SA010	0.0237	0.169	1069.2	0.995	0.894	320.2	507.7	3000	1060	0.61	0.00461	6.23	8.99	2.71
SA011	0.0433	0.146	916.5	0.994	0.892	275.7	436.8	3000	910	0.544	0.00562	6.08	8.77	2.64
SA016	0.025	0.154	979.5	0.995	0.892	297.4	461.8	3000	973	0.579	0.00487	6.14	8.85	2.66
SA018	0.0303	0.155	954.3	0.995	0.896	298.3	463.8	3000	949	0.54	0.00496	6.14	8.86	2.67
SA019	0.0207	0.168	959.8	0.996	0.907	348.9	502.8	3000	955	0.532	0.00396	6.22	8.97	2.7
SA020	0.053	0.0863	779.3	0.987	0.836	130.5	259	3000	772	0.559	0.0128	5.56	8.02	2.41
