Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
HSL001	0.059	0.0636	637.5	0.986	0.814	105.8	190.7	3000	631	0.541	0.014	5.25	7.58	2.28
HSL003	0.0483	0.144	965.7	0.993	0.883	246.3	430.7	3000	961	0.554	0.00679	6.07	8.75	2.63
HSL004	0.041	0.122	929.5	0.992	0.865	205.2	367.3	3000	922	0.587	0.00775	5.91	8.52	2.57
HSL006	0.0613	0.055	545.5	0.985	0.813	96.4	165.1	3000	536	0.551	0.0153	5.11	7.37	2.22
HSL010	0.185	0.0443	593.8	0.959	0.767	49.7	132.8	3000	587	0.56	0.041	4.89	7.05	2.12
HSL013	0.104	0.0928	883.9	0.982	0.831	115.7	278.3	3000	876	0.597	0.0175	5.63	8.12	2.44
HSL015	0.154	0.0371	436.9	0.968	0.777	54.4	111.3	3000	429	0.491	0.0324	4.71	6.8	2.05
HSL016	0.132	0.0425	565	0.971	0.767	59.3	127.5	3000	556	0.578	0.0287	4.85	6.99	2.11
HSL018	0.0333	0.0699	592.8	0.99	0.838	131.8	209.7	3000	588	0.491	0.0104	5.35	7.71	2.32
HSL019	0.0147	0.293	1406.9	0.998	0.936	642.8	880	3000	1400	0.64	0.00214	6.78	9.78	2.94
HSL020	0.0157	0.249	1271.1	0.997	0.926	528.1	745.8	3000	1264	0.613	0.00264	6.61	9.54	2.87
HSL021	0.0167	0.247	1253.4	0.997	0.927	536.1	740.3	3000	1245	0.616	0.00253	6.61	9.53	2.87
HSL022	0.0133	0.286	1379.8	0.998	0.935	631.5	859.4	3000	1373	0.635	0.00215	6.76	9.75	2.93
HSL023	0.014	0.279	1333.6	0.998	0.936	621.2	837.5	3000	1328	0.605	0.00216	6.73	9.71	2.92
HSL024	0.016	0.234	1212	0.997	0.924	493.8	702.3	3000	1206	0.587	0.00284	6.55	9.46	2.85
HSL025	0.023	0.275	1336.5	0.998	0.934	592.8	823.7	3000	1327	0.629	0.00242	6.71	9.69	2.92
HSL026	0.017	0.29	1389	0.998	0.936	630.4	870.5	3000	1383	0.622	0.00222	6.77	9.77	2.94
HSL027	0.0177	0.268	1294.8	0.998	0.934	587.2	804.2	3000	1289	0.591	0.00235	6.69	9.65	2.91
HSL028	0.036	0.142	914.7	0.994	0.889	260.3	426.2	3000	910	0.527	0.00604	6.05	8.74	2.63
HSL032	0.0313	0.112	852.5	0.993	0.863	200.6	335.1	3000	845	0.59	0.00739	5.81	8.39	2.53
HSL035	0.0433	0.168	1049.4	0.994	0.895	294.7	503	3000	1044	0.571	0.00572	6.22	8.97	2.7
HSL036	0.0293	0.168	1089.1	0.995	0.891	303	504.6	3000	1082	0.614	0.00514	6.22	8.98	2.7
HSL037	0.0513	0.103	833	0.991	0.854	176.7	309.4	3000	825	0.596	0.00885	5.73	8.27	2.49
HSL038	0.044	0.112	849.5	0.992	0.864	194.9	336.9	3000	840	0.581	0.00806	5.82	8.4	2.53
HSL039	0.061	0.1	849.5	0.99	0.847	159.5	301.1	3000	842	0.592	0.0104	5.71	8.23	2.48
HSL040	0.0427	0.142	992	0.993	0.879	240.3	426.4	3000	985	0.59	0.00697	6.06	8.74	2.63
HSL041	0.109	0.0715	789.8	0.979	0.806	90.6	214.4	3000	781	0.606	0.0208	5.37	7.74	2.33
HSL042	0.0867	0.108	891.5	0.988	0.852	156.2	324.5	3000	885	0.57	0.0122	5.78	8.34	2.51
HSL043	0.192	0.0139	425.7	0.925	0.618	19	41.7	3000	419	0.626	0.0751	3.73	5.38	1.62
HSL044	0.11	0.0432	740.8	0.97	0.738	54.8	129.6	3000	726	0.711	0.0296	4.86	7.02	2.11
HSL045	0.094	0.0585	767.8	0.976	0.779	72.6	175.4	3000	762	0.617	0.0239	5.17	7.45	2.24
HSL046	0.158	0.0146	353.8	0.937	0.647	22.4	43.7	3000	342	0.624	0.0628	3.78	5.45	1.64
HSL047	0.107	0.0374	495.2	0.975	0.764	59.7	112.1	3000	483	0.591	0.0254	4.72	6.81	2.05
HSL048	0.823	0.00117	247.9	0.321	0.232	1.74	3.5	3000	224	0.738	0.679	1.25	1.81	0.544
HSL049	0.822	0.00117	234.9	0.323	0.232	1.74	3.5	3000	220	0.742	0.677	1.25	1.81	0.544
HSL051	0.0683	0.134	950.9	0.99	0.875	202.7	403.3	3000	947	0.536	0.00953	6	8.66	2.61
HSL052	0.083	0.0448	523.8	0.978	0.784	69.8	134.5	3000	520	0.497	0.0222	4.9	7.07	2.13
HSL053	0.0547	0.13	968.9	0.991	0.868	197	390.2	3000	964	0.572	0.00932	5.97	8.61	2.59
HSL054	0.0517	0.151	990	0.993	0.887	261.1	452.6	3000	984	0.569	0.00653	6.12	8.82	2.66
HSL055	0.0427	0.151	942.9	0.994	0.894	277.4	454	3000	940	0.508	0.00577	6.12	8.83	2.66
HSL056	0.0697	0.0497	544.7	0.981	0.795	80.6	149.2	3000	541	0.498	0.0187	5.01	7.22	2.17
HSL057	0.0693	0.0501	569.8	0.981	0.792	78.5	150.4	3000	563	0.528	0.0195	5.01	7.23	2.18
HSL058	0.0867	0.0478	535.1	0.98	0.791	76.2	143.3	3000	531	0.492	0.02	4.97	7.16	2.16
HSL059	0.055	0.0847	732.9	0.988	0.84	133.8	254	3000	727	0.536	0.0124	5.54	7.99	2.4
HSL060	0.065	0.105	803.7	0.99	0.861	172.2	316.4	3000	800	0.516	0.0099	5.76	8.31	2.5
HSL061	0.0677	0.0443	507.6	0.98	0.786	72.9	132.8	3000	504	0.481	0.0199	4.89	7.05	2.12
