SampleID	Group
HSL001	HSL
HSL002	HSL
HSL003	HSL
HSL004	HSL
HSL005	HSL
HSL006	HSL
HSL007	HSL
HSL008	HSL
HSL009	HSL
HSL010	HSL
HSL011	HSL
HSL012	HSL
HSL013	HSL
HSL014	HSL
HSL015	HSL
HSL016	HSL
HSL017	HSL
HSL018	HSL
HSL019	HSL
HSL020	HSL
HSL021	HSL
HSL022	HSL
HSL023	HSL
HSL024	HSL
HSL025	HSL
HSL026	HSL
HSL027	HSL
HSL028	HSL
HSL029	HSL
HSL030	HSL
HSL031	HSL
HSL032	HSL
HSL033	HSL
HSL034	HSL
HSL035	HSL
HSL036	HSL
HSL037	HSL
HSL038	HSL
HSL039	HSL
HSL040	HSL
HSL041	HSL
HSL042	HSL
HSL043	HSL
HSL044	HSL
HSL045	HSL
HSL046	HSL
HSL047	HSL
HSL048	HSL
HSL049	HSL
HSL050	HSL
HSL051	HSL
HSL052	HSL
HSL053	HSL
HSL054	HSL
HSL055	HSL
HSL056	HSL
HSL057	HSL
HSL058	HSL
HSL059	HSL
HSL060	HSL
HSL061	HSL
HSL062	HSL
HSL063	HSL
HSL064	HSL
HSL065	HSL
HSL066	HSL
HSL067	HSL
HSL068	HSL
HSL069	HSL
HSL070	HSL
HSL071	HSL
HSL072	HSL
HSL073	HSL
HSL074	HSL
HSL075	HSL
HSL076	HSL
HSL077	HSL
HSL078	HSL
HSL079	HSL
HSL080	HSL
HSL081	HSL
HSL082	HSL
HSL083	HSL
HSL084	HSL
HSL085	HSL
HSL086	HSL
HSL087	HSL
HSL088	HSL
HSL089	HSL
HSL090	HSL
HSL091	HSL
HSL092	HSL
HSL093	HSL
HSL094	HSL
HSL095	HSL
HSL096	HSL
HSL097	HSL
HSL098	HSL
HSL099	HSL
HSL100	HSL
HSL101	HSL
HSL102	HSL
HSL103	HSL
HSL104	HSL
HSL105	HSL
HSL106	HSL
HSL107	HSL
HSL108	HSL
HSL109	HSL
HSL110	HSL
HSL111	HSL
HSL112	HSL
HSL113	HSL
HSL114	HSL
HSL115	HSL
HSL116	HSL
HSL117	HSL
HSL118	HSL
HSL119	HSL
HSL120	HSL
HSL121	HSL
HSL122	HSL
HSL123	HSL
HSL124	HSL
HSL125	HSL
HSL126	HSL
HSL127	HSL
HSL128	HSL
HSL129	HSL
HSL130	HSL
HSL131	HSL
HSL132	HSL
HSL133	HSL
HSL134	HSL
HSL135	HSL
HSL136	HSL
HSL137	HSL
HSL138	HSL
HSL139	HSL
HSL140	HSL
HSL141	HSL
HSL142	HSL
HSL143	HSL
HSL144	HSL
HSL145	HSL
HSL146	HSL
HSL147	HSL
HSL148	HSL
HSL149	HSL
HSL150	HSL
HSL151	HSL
HSL152	HSL
HSL153	HSL
HSL154	HSL
HSL155	HSL
HSL156	HSL
HSL157	HSL
HSL158	HSL
HSL159	HSL
HSL160	HSL
HSL161	HSL
HSL162	HSL
HSL163	HSL
HSL164	HSL
HSL165	HSL
HSL166	HSL
HSL167	HSL
HSL168	HSL
HSL169	HSL
HSL170	HSL
HSL171	HSL
HSL172	HSL
HSL173	HSL
HSL174	HSL
HSL175	HSL
HSL176	HSL
HSL177	HSL
HSL178	HSL
HSL179	HSL
HSL180	HSL
HSL181	HSL
HSL182	HSL
HSL183	HSL
HSL184	HSL
HSL185	HSL
HSL186	HSL
HSL187	HSL
HSL188	HSL
HSL189	HSL
HSL190	HSL
HSL191	HSL
HSL192	HSL
HSL193	HSL
