carat	cut	color	clarity	depth	table	price	x	y	z
0.55	Premium	D	SI1	61.9	60	1815	5.23	5.14	3.21
1.5	Good	I	SI1	64	60	8736	7.25	7.13	4.6
0.91	Fair	F	SI1	64.9	57	2971	6.13	6.08	3.96
0.71	Ideal	E	VVS1	61	57	4860	5.75	5.76	3.51
1.02	Ideal	G	VS2	60.6	56	6333	6.56	6.52	3.96
1.25	Good	H	SI1	63.7	58	6783	6.81	6.79	4.33
0.52	Ideal	G	SI2	59.7	56	1042	5.28	5.31	3.16
0.55	Premium	I	VVS1	61.3	59	1593	5.27	5.3	3.24
1.03	Ideal	H	SI2	60.6	56	4283	6.53	6.63	3.99
1.01	Good	D	VS2	62.5	62	6563	6.26	6.34	3.94
1.01	Premium	H	SI1	61.9	59	4191	6.35	6.32	3.92
0.38	Very Good	G	VS2	59.2	60	766	4.7	4.73	2.79
1.29	Ideal	J	VS1	62	57	5779	6.98	6.92	4.31
0.7	Very Good	H	VS2	63.6	56	2312	5.6	5.63	3.57
1.22	Ideal	E	SI2	62.7	57	6343	6.84	6.81	4.28
1	Good	F	SI1	63.6	58	4851	6.27	6.31	4
0.3	Ideal	D	VS2	61.6	57	710	4.3	4.33	2.66
0.7	Premium	E	SI2	62.8	59	2475	5.69	5.64	3.56
0.28	Ideal	D	VS2	62.4	57	487	4.16	4.2	2.61
0.4	Very Good	D	VVS2	58.3	59	1078	4.88	4.9	2.85
0.31	Ideal	I	VS1	61.2	55	507	4.37	4.39	2.68
0.91	Very Good	D	SI1	62.1	59	4466	6.1	6.18	3.81
0.55	Very Good	F	VS2	62.5	56	1625	5.23	5.27	3.28
2.25	Ideal	I	SI2	62.4	57	17143	8.39	8.32	5.21
0.3	Good	H	SI1	63.4	58	421	4.21	4.24	2.68
0.96	Fair	H	I1	60.1	62	1808	6.21	6	3.68
0.44	Premium	E	SI1	62.3	59	810	4.84	4.88	3.03
0.36	Ideal	D	SI1	62.5	56	663	4.55	4.57	2.85
0.6	Ideal	G	VS2	62.1	56	1795	5.4	5.45	3.37
0.7	Ideal	H	VVS2	62.2	55	3235	5.71	5.76	3.57
0.7	Premium	D	SI2	60.4	60	2573	5.74	5.79	3.48
0.41	Ideal	G	IF	61.7	56	1259	4.78	4.81	2.96
0.91	Ideal	I	SI2	61.6	57	2981	6.24	6.23	3.84
0.58	Ideal	E	VS2	61.6	55	1884	5.33	5.38	3.3
0.35	Very Good	E	SI1	61.9	58	614	4.49	4.52	2.79
0.3	Premium	G	VVS2	61.9	59	684	4.25	4.28	2.64
0.53	Very Good	G	VS1	60.9	56	1636	5.24	5.27	3.2
0.31	Very Good	F	VVS2	62	55	754	4.34	4.38	2.7
0.78	Ideal	F	SI2	59.7	57	2431	6.01	5.98	3.58
0.36	Ideal	D	SI1	61.3	56	636	4.61	4.65	2.84
0.31	Very Good	G	VVS2	63.2	58	907	4.32	4.26	2.71
1.55	Premium	I	SI1	62.5	60	9027	7.35	7.33	4.59
0.39	Ideal	G	SI1	61.4	55	919	4.7	4.74	2.9
0.57	Ideal	F	VS1	62.6	56	2052	5.33	5.27	3.32
0.35	Premium	F	VS2	61.9	58	906	4.54	4.48	2.79
1.01	Fair	H	VS2	65.2	56	3733	6.23	6.19	4.05
1	Good	E	SI2	63.7	61	4265	6.27	6.2	3.97
0.27	Ideal	F	IF	63	55	760	4.13	4.16	2.61
1.34	Premium	F	VS2	61.1	58	10431	7.12	7.05	4.33
1.03	Ideal	F	SI1	61.3	56	6059	6.51	6.55	4
0.81	Fair	G	VVS2	64.8	56.2	3323	5.82	5.98	3.82
0.34	Premium	I	VS2	62.1	57	612	4.48	4.44	2.77
0.41	Ideal	F	IF	61.4	56	1439	4.81	4.83	2.96
1.27	Good	I	VS2	63.3	63	5923	6.82	6.87	4.33
1.23	Premium	H	VS2	58.5	62	6150	7	6.98	4.09
0.72	Premium	I	VS2	61.1	61	1991	5.79	5.74	3.52
1.01	Fair	F	VS1	64.5	59	6391	6.27	6.19	4.02
0.71	Premium	F	SI1	63	59	2381	5.69	5.62	3.56
1	Good	D	VS2	63.9	56	7200	6.34	6.31	4.04
1.01	Premium	H	SI1	62.9	58	3224	6.38	6.34	4
0.7	Ideal	E	SI1	62.8	56	2537	5.69	5.72	3.58
2.33	Very Good	J	VS2	61.8	59	14801	8.41	8.56	5.24
0.47	Very Good	I	VS2	63.2	56	935	4.92	4.98	3.13
1.52	Good	D	SI2	63.2	58	8868	7.25	7.31	4.6
0.5	Very Good	G	SI1	62.6	56	1197	5.06	5.1	3.18
1.31	Ideal	G	VS1	62	53	10556	7.06	7.07	4.37
1.71	Very Good	E	SI1	63.4	56	13970	7.58	7.5	4.78
1.51	Ideal	E	VS2	61.7	55	14482	7.37	7.34	4.54
1	Good	J	SI1	58.7	62	3614	6.47	6.51	3.81
0.3	Premium	E	VVS1	60	60	895	4.35	4.38	2.62
0.53	Ideal	G	VVS2	61.5	56	1881	5.18	5.22	3.2
1.51	Premium	G	SI2	60	60	6266	7.45	7.4	4.48
0.31	Ideal	G	VS1	62.9	57	802	4.32	4.3	2.71
0.38	Ideal	F	VS2	62.1	57	1026	4.67	4.61	2.88
0.35	Premium	E	SI1	62.7	57	788	4.52	4.47	2.82
0.41	Premium	E	VS1	60.7	59	964	4.77	4.79	2.9
0.78	Ideal	D	VS2	61.9	56	3763	5.88	5.94	3.66
1.02	Very Good	H	SI1	60.3	59	4476	6.44	6.5	3.9
1.29	Very Good	I	VS2	61.8	58	6537	6.94	6.98	4.3
0.24	Very Good	D	SI1	63.1	55	475	3.95	4.01	2.51
1.2	Premium	I	VS2	62.1	59	5474	6.77	6.72	4.19
0.31	Ideal	H	VVS2	62.2	54	609	4.36	4.38	2.72
1.21	Premium	D	SI2	62.2	60	5997	6.83	6.8	4.24
1.24	Very Good	H	SI1	62.4	58	6625	6.93	6.82	4.29
0.4	Premium	G	SI1	59.3	59	900	4.82	4.8	2.85
1.85	Ideal	I	VVS2	62.4	57	14375	7.91	7.86	4.92
0.41	Premium	G	VS1	61.9	60	961	4.76	4.7	2.93
0.71	Ideal	E	SI1	60.5	56	3527	5.81	5.84	3.53
0.32	Ideal	G	VVS2	62.6	57	936	4.38	4.34	2.73
1.57	Premium	D	SI1	62.3	59	12417	7.44	7.39	4.62
0.3	Premium	D	SI1	61.7	59	709	4.31	4.28	2.65
0.81	Premium	I	SI2	61.5	60	1786	5.94	5.9	3.64
1.58	Ideal	I	VS2	61.1	55	10338	7.48	7.53	4.59
0.31	Very Good	I	VS2	60.8	60	435	4.37	4.42	2.67
0.57	Ideal	I	VS2	61.9	57	1410	5.3	5.33	3.29
0.33	Ideal	D	SI1	62.8	56	780	4.43	4.39	2.77
0.5	Very Good	E	SI1	62.6	56	1222	5.06	5.07	3.17
1.59	Premium	F	SI2	62.2	58	7123	7.49	7.45	4.64
0.4	Premium	G	VS2	60.4	58	966	4.78	4.75	2.88
1.05	Very Good	I	VS2	63.2	56	4895	6.47	6.51	4.1
1.04	Premium	G	VVS2	61.8	58	8098	6.51	6.47	4.01
0.52	Ideal	F	VVS2	62.1	54	1978	5.17	5.2	3.22
0.71	Very Good	D	VVS2	62.3	60	3799	5.65	5.71	3.54
0.41	Very Good	H	SI1	60	61	683	4.77	4.83	2.88
1.21	Premium	I	SI1	61.7	56	6098	6.87	6.82	4.22
1.18	Premium	G	SI2	62.5	54	5190	6.81	6.78	4.25
1.24	Ideal	I	VS2	62	55	6076	6.9	6.87	4.27
0.72	Very Good	E	VS2	63	57	2923	5.69	5.73	3.6
1.22	Premium	F	VS2	59.8	59	8417	6.96	6.92	4.15
0.3	Very Good	D	VS2	62.8	57	710	4.25	4.29	2.68
0.53	Ideal	E	SI1	61.9	55	1585	5.2	5.24	3.23
1.07	Ideal	H	VS2	62.1	57	4458	6.53	6.49	4.04
0.54	Ideal	G	VS2	60.7	56	1637	5.29	5.25	3.2
1.3	Ideal	E	IF	62.3	54	15874	6.97	7.03	4.36
0.7	Premium	E	SI1	61.7	62	2592	5.68	5.64	3.49
1	Fair	H	SI2	66.5	62	3248	6.19	6.1	4.09
0.5	Ideal	H	SI1	59.2	62	1160	5.17	5.2	3.07
0.9	Premium	D	SI2	61.2	62	4133	6.22	6.07	3.76
0.62	Premium	G	VS2	62.2	55	1823	5.51	5.46	3.41
