term,Count
establishment of skin barrier,69
regulation of water loss via skin,263
intermediate filament cytoskeleton organization,214
intermediate filament-based process,247
multicellular organismal water homeostasis,6
water homeostasis,282
maintenance of gastrointestinal epithelium,120
skin development,247
epithelial structure maintenance,134
nucleus organization,7
skeletal muscle fiber development,198
keratinocyte differentiation,2
myotube cell development,172
sarcomere organization,168
muscle cell differentiation,158
muscle cell development,111
epidermal cell differentiation,42
histone H3-K4 methylation,253
myofibril assembly,49
striated muscle cell development,264
heart morphogenesis,6
cardiac muscle cell development,252
