abc,agh,adf
zma-miR319b-3p,zma-miR827-5p,zma-miR827-5p
zma-miR319d-3p,zma-miR827-3p,zma-miR827-3p
zma-miR319a-3p,zma-miR529-5p,zma-miR529-5p
zma-miR319c-3p,zma-miR528b-5p,zma-miR528b-5p
zma-miR166a-3p,zma-miR528b-3p,zma-miR528b-3p
zma-miR166h-3p,zma-miR528a-5p,zma-miR528a-5p
zma-miR166f,zma-miR528a-3p,zma-miR528a-3p
zma-miR166g-3p,zma-miR444b,zma-miR444b
zma-miR166i-3p,zma-miR444a,zma-miR444a
zma-miR166e,zma-miR408b-5p,zma-miR408b-5p
zma-miR166d-3p,zma-miR408b-3p,zma-miR408b-3p
zma-miR166c-3p,zma-miR408a,zma-miR408a
zma-miR166b-3p,zma-miR399j-3p,zma-miR399j-3p
zma-miR167f-5p,zma-miR399i-3p,zma-miR399i-3p
zma-miR167e-5p,zma-miR399h-3p,zma-miR399h-3p
zma-miR167j-5p,zma-miR399f-5p,zma-miR399f-5p
zma-miR167g-3p,zma-miR399e-3p,zma-miR399f-3p
zma-miR159b-3p,zma-miR399c-5p,zma-miR399e-3p
zma-miR159a-3p,zma-miR399c-3p,zma-miR399c-3p
zma-miR159f-3p,zma-miR399a-3p,zma-miR399a-3p
zma-miR159k-3p,zma-miR398b-5p,zma-miR398b-5p
zma-miR159j-3p,zma-miR398b-3p,zma-miR398b-3p
zma-miR167h-5p,zma-miR398a-5p,zma-miR398a-5p
zma-miR167i-5p,zma-miR398a-3p,zma-miR398a-3p
zma-miR167g-5p,zma-miR397b-5p,zma-miR397b-5p
zma-miR827-3p,zma-miR397b-3p,zma-miR397b-3p
zma-miR166j-3p,zma-miR397a-5p,zma-miR397a-5p
zma-miR166k-3p,zma-miR396h,zma-miR396h
zma-miR166n-3p,zma-miR396g-5p,zma-miR396g-5p
2_34270,zma-miR396f-5p,zma-miR396g-3p
zma-miR156d-5p,zma-miR396f-3p,zma-miR396f-5p
zma-miR156b-5p,zma-miR396e-5p,zma-miR396e-5p
6_9844,zma-miR396d,zma-miR396d
zma-miR156c,zma-miR396c,zma-miR396c
zma-miR156a-5p,zma-miR396b-5p,zma-miR396b-5p
zma-miR156l-5p,zma-miR396b-3p,zma-miR396b-3p
zma-miR156i-5p,zma-miR396a-5p,zma-miR396a-5p
zma-miR156h-5p,zma-miR396a-3p,zma-miR396a-3p
