gene	logFC	P.Value
LOC100909539	-4.514013397	4.33E-12
Steap2	-3.678175278	1.12E-11
Trpt1	2.594114643	1.21E-11
Cers6	-3.630772603	1.45E-11
Hs3st1	-3.129657983	1.74E-11
Lama5	-2.772379956	2.51E-11
Basp1	-2.731662156	2.59E-11
C1qtnf6	-2.716983762	2.69E-11
Homer1	2.187527401	3.08E-11
LOC100361913	-3.231218689	3.16E-11
Lmnb1	-2.607270766	3.58E-11
RT1-M3-1	-2.428314214	3.65E-11
Luzp1	-2.892588412	3.96E-11
Ltc4s	-2.857088349	4.02E-11
Casp1	-3.473449504	4.11E-11
Enpp3	-3.333681912	4.30E-11
Bcar1	-2.509371912	4.95E-11
Adamts15	-2.489554279	5.27E-11
Adcyap1r1	-2.408963663	5.28E-11
Relt	-2.416191772	5.45E-11
Cyba	-2.417940481	5.47E-11
Zdhhc8	-2.222673944	5.70E-11
Ruvbl2	-2.617444673	5.82E-11
Chpf	-2.36785082	5.88E-11
Phc3	-1.957893658	6.08E-11
Mb21d2	-2.37823904	6.31E-11
Hddc3	3.031424244	7.36E-11
Pdlim7	-2.413556751	7.45E-11
Os9	-2.311182039	7.63E-11
Clec2l	-2.294928457	7.79E-11
Lcn2	-2.468359649	7.81E-11
Hcls1	-2.384813378	8.32E-11
Dock8	-2.371117741	8.61E-11
Igdcc4	-2.465644424	8.62E-11
Paqr6	-2.626080104	8.62E-11
Dennd4b	-2.624811174	9.17E-11
Srd5a3	-2.551429336	9.28E-11
Sptlc2	-2.281542891	9.29E-11
Rgmb	-2.12719565	9.68E-11
Arl11	-2.451190156	9.88E-11
Pdlim4	-2.258560021	1.02E-10
Chn2	-2.155111784	1.08E-10
Creb3l1	-2.428676737	1.12E-10
Slc25a20	4.181651759	1.13E-10
Galk1	-2.246718108	1.21E-10
Adap2	-2.36242549	1.22E-10
Cadm3	-2.147215893	1.34E-10
Eno1	3.076475546	1.38E-10
Palm	-2.13931318	1.38E-10
Cnrip1	-2.092476657	1.42E-10
Zfp623	-2.20226226	1.42E-10
Aldh18a1	-1.73893883	1.47E-10
Rbbp8	-1.965548709	1.49E-10
Ralgds	-2.223676095	1.54E-10
Abcg3l1	-2.019026211	1.54E-10
Dnm2	-1.972752365	1.61E-10
Rpl39	-3.01246019	1.65E-10
Deup1	0.741085833	1.71E-10
Lamc3	-1.790830032	1.84E-10
Tmem151a	-1.977348208	1.91E-10
Gpatch1	-1.498432993	1.98E-10
Dock5	-2.071344146	2.02E-10
Castor1	-2.199339151	2.03E-10
Raver2	0.764306572	2.04E-10
Slc6a9	-1.957510091	2.10E-10
Pim1	0.771940335	2.16E-10
LOC102551360	1.365707982	2.26E-10
Capn1	-1.949309289	2.32E-10
Manba	-2.270468674	2.40E-10
Afg1l	3.9766584	2.41E-10
Camk2n1	-2.112924536	2.43E-10
Car6	0.676507458	2.50E-10
Plcb3	-1.530884007	2.51E-10
Sipa1	-2.150508929	2.54E-10
Cfp	-1.818402593	2.68E-10
Nagk	-1.829166642	2.76E-10
Zfp462	-1.953130668	2.81E-10
Mospd3	-1.680133674	2.86E-10
Camsap1	-1.838722522	2.88E-10
S100a13	-2.11819702	2.90E-10
Vstm2b	0.697218767	2.90E-10
Cox8b	8.80485207	2.95E-10
Tatdn1	1.414403392	3.00E-10
Epha2	-1.936402833	3.03E-10
Fam210a	2.582433001	3.08E-10
Supv3l1	2.18491489	3.11E-10
Gnat3	1.136912428	3.17E-10
Nop9	1.15456869	3.21E-10
Sfrp5	1.810022293	3.23E-10
Me2	-1.878824356	3.23E-10
Sdr39u1	2.315925876	3.25E-10
Sdc1	-2.034827818	3.26E-10
Ptdss2	1.970300363	3.32E-10
Hoxc5	-1.891933813	3.37E-10
Rpain	0.711809723	3.55E-10
Sncb	0.622874065	3.60E-10
Plekhm3	-1.860456267	3.72E-10
Rab27b	1.162563018	3.76E-10
Prps1	-2.306449974	3.89E-10
Sfxn5	1.41736338	3.97E-10
Zbtb40	-1.907258696	4.05E-10
Flrt3	-1.746732551	4.08E-10
Plekhn1	1.119870988	4.11E-10
LOC500956	-1.770520261	4.12E-10
LOC102554570	0.730202188	4.24E-10
Nppa	1.098264552	4.31E-10
Cdk5rap3	-1.848532102	4.41E-10
Pik3c2b	1.20767024	4.46E-10
Zbtb44	0.965298124	4.56E-10
Ptafr	-2.610036335	4.59E-10
Zap70	1.076015992	4.63E-10
Rab32	-1.802246722	4.75E-10
Stac	-2.839612812	4.76E-10
St3gal3	1.130022467	4.78E-10
Scn11a	1.111247232	4.92E-10
Coro2b	-2.157476514	4.95E-10
Rfc4	1.647610422	5.01E-10
Abhd18	0.993384954	5.06E-10
Ppip5k1	1.739456567	5.21E-10
Zfp346	0.597831516	5.30E-10
Naaa	-2.461266967	5.32E-10
Coq7	3.465120777	5.39E-10
Gpsm3	-2.06234719	5.39E-10
Tnfaip2	-1.424375897	5.43E-10
Gpd2	6.095851213	5.45E-10
Rhpn1	-1.426246503	5.46E-10
Plxdc1	1.156257251	5.50E-10
Ccdc149	-1.629263958	5.54E-10
Gmds	-1.593947575	5.54E-10
MGC94207	2.93616332	5.58E-10
Prrc1	-2.427350879	5.64E-10
Ift122	-1.739503772	5.68E-10
Ttc7b	1.666531871	5.69E-10
Dpy19l3	-1.068029645	5.77E-10
Tshz2	-2.227095879	5.77E-10
RGD1305645	-1.809075497	5.78E-10
Abcc5	-1.777938625	5.78E-10
Clcnkb	1.058297951	5.81E-10
Camkk1	-1.544134419	5.86E-10
Lyzl6	1.034078824	5.92E-10
Fat4	-1.404560538	5.94E-10
Sec31a	-1.824574919	5.96E-10
Cox6c-ps1	2.680173645	5.97E-10
Slc4a1	1.183607773	6.03E-10
Atp5f1c	1.195630919	6.10E-10
Slc12a9	-1.834086657	6.13E-10
Fcgr1a	-1.583693387	6.21E-10
Polr3h	-1.732969086	6.23E-10
Rgs19	-1.796893918	6.27E-10
Irf5	-1.452012905	6.36E-10
Higd1b	-1.380612028	6.42E-10
Neb	0.708175891	6.43E-10
Clcnka	0.605481852	6.54E-10
Gpr68	0.562914233	6.55E-10
LOC102557574	0.562951672	6.63E-10
Dolpp1	-1.840595221	6.64E-10
Abhd8	0.594370028	6.64E-10
Mrm1	0.573573726	6.68E-10
Dop1b	-2.652064728	6.68E-10
Llgl1	-1.492459366	6.72E-10
Trub1	0.563555255	6.79E-10
Tead2	-1.466031158	6.80E-10
Spata24	-1.470089375	6.87E-10
Sema6c	-1.634892833	6.88E-10
Pard6b	-0.575613556	7.18E-10
Ncs1	1.009015371	7.23E-10
Cntnap1	1.585730755	7.27E-10
Tmem70	2.448783256	7.30E-10
Zan	0.853161243	7.37E-10
Amt	-1.483226009	7.38E-10
Igip	-1.659252341	7.38E-10
Top1mt	1.022378787	7.42E-10
F12	-1.482393896	7.45E-10
Gpld1	5.201991113	7.48E-10
Zxdc	-1.4519926	7.56E-10
Tnfaip8l2	-1.771094415	7.70E-10
RGD1309540	-1.94312625	7.75E-10
Hacd4	-1.786343662	7.79E-10
Ang	-1.657234044	7.88E-10
Kcnk2	-1.779270366	7.91E-10
Nkap	-1.48791581	7.92E-10
Metap1d	1.400440194	7.99E-10
Gstm1	-2.957648629	8.00E-10
Cep350	-1.07620597	8.14E-10
Acsf2	5.280409966	8.14E-10
Fam219b	-1.781352009	8.17E-10
Itpr3	-1.376969448	8.21E-10
Epn1	-1.603065111	8.28E-10
Alox5	-1.376317151	8.36E-10
Samd8	1.237857208	8.39E-10
LOC102553902	0.720000907	8.42E-10
Smo	-1.297106408	8.46E-10
Arrb2	-1.614227407	8.53E-10
Lsm14b	0.825197009	8.55E-10
Taco1	0.985923807	8.55E-10
P2ry6	-1.740283796	8.60E-10
Twf2	-1.285231401	8.65E-10
Clstn2	0.759204914	8.68E-10
Enah	1.342770481	8.85E-10
Il12b	0.544253021	8.87E-10
Stmn4	-1.553547667	8.91E-10
Pdia3	-1.69415898	8.97E-10
Safb	-1.559717189	9.06E-10
Scarf1	-1.282931456	9.16E-10
Gulp1	-1.590286275	9.21E-10
Xpr1	2.236109554	9.22E-10
Fam204a	0.541274824	9.24E-10
Prrc2b	-1.535057482	9.27E-10
Zc3h3	-1.088347946	9.44E-10
Ppat	1.792106048	9.52E-10
Samd11	0.595705881	9.54E-10
Slc44a2	-1.333108722	9.66E-10
Rnf165	0.961014755	9.67E-10
Srrd	0.950792718	9.72E-10
LOC680835	-1.84935868	9.91E-10
Lrrc46	0.995362797	9.97E-10
Sap30bp	1.076803473	1.01E-09
Fut2	0.92343202	1.02E-09
Gapdhs	0.501149644	1.02E-09
LOC361346	-0.772868651	1.03E-09
LOC360479	0.960759541	1.05E-09
Kdelc2	-1.937179514	1.06E-09
LOC100910596	0.513856067	1.07E-09
Traf2	1.474397097	1.07E-09
Atat1	1.026221044	1.07E-09
Slitrk1	0.500411446	1.08E-09
Shisa7	0.705681298	1.09E-09
Tmem143	2.373072942	1.10E-09
Ilf3	0.481819991	1.11E-09
Nmt2	0.951007117	1.11E-09
Hoxc8	-1.574943573	1.13E-09
Casp12	-2.109056034	1.14E-09
Myo1g	-0.69916391	1.14E-09
Pik3r3	0.997313215	1.15E-09
Pglyrp1	0.499372417	1.17E-09
Dlgap5	-0.693635291	1.18E-09
